content,Relevance,Value Item 1-  Violating,Value Item 2 - Violating,Values Violating Outside Schwartz,Value Item - 2 Supporting,Values Supporting Outside Schwartz,Keyword Identified for categorizatin of value(s),Phrases Identified for categorization of value(s)
The government is hiding info on covid19,Directly Relevant,Honest,Responsible,,,,,hiding info
A great idea but shame we have the morons out of touch with reality running the states and country! I had this installed but with restrictions continuing no point continuing with this app!,Directly Relevant,Choosing own goals,Freedom,,Helpful,,,no point continuing
Battery drainer. Not yet sustainable to use.,Directly Relevant,Protecting the environment,,Sustainability,,,,"not sustainable, battery drainer"
I am just interested in total number of active cases in my suburb. But this app provides only total infected cases of each state and dont say anything about recovered cases. Not useful for me.,Directly Relevant,Helpful,curious,,,,,Not useful
It needs location service on. Why? Explanation: necessary for Bluetooth to work.??? Why can I connect to my speakers via BT when location service is off? Why can I connect to my tablet via BT when location service is off?Why can I connect to my hands free car entertainment system via BT when location service is off? Why can I connect to my laptop via BT when location service is off? Could extend this list indefinite....,Directly Relevant,Privacy,Intelligent,,,,,
Shortly after installing I started getting a dry cough. Also this app boosted 5g in my house im pretty sure.,Directly Relevant,Healthy,Family security,,,,,
Like government like app... Useless!,Directly Relevant,Helpful,,,,,,
"Marketed as a COVID-19 tracker. Does nothing of the sort, simply keeps a list of phones that have been near your phone for more than 15 minutes at a time. Considering I already minimise contact with others, it's simply not needed.",Directly Relevant,Honest,Helpful,,,,,
"Just links you to health.gov for everything anyway, so just go there and don't bother with this. People thinking this is the COVIDsafe app are off chops - I blame the govt not being clear but also the off choppers",Directly Relevant,Intelligent,Capable,,,,,
Cost a fortune in data,Directly Relevant,Wealth,,,,,,
Only sheep download this app because people are stupid. Stuff the government they just want to track us if not why did they chose to have a data retention law passed think about it,Directly Relevant,Independent,Privacy,,,,,
This app is never up to date! Useless!,Directly Relevant,curious,Helpful,,,,,
Covid 19 is fake check the news,Directly Relevant,Honest,,,,,,
Drain heaps of battery,Directly Relevant,Protecting the environment,,,,,,
I am trying to register this is stupid,Directly Relevant,Intelligent,Capable,,,,,
"Why can't you just push a few quick buttons not like this. 2 hours and nothing until I read you have to drop the 0 and now I can't find where to do it Am I downloaded, I don't know",Directly Relevant,Intelligent,Capable,,,,,
Gotta love when the government used this app to track you :),Directly Relevant,Privacy,Honest,,,,,
There is no way bluetooth signal strength can measure 1.5 metres. Done the research.,Directly Relevant,Intelligent,Honest,,,,,
It's not the aus gov one that I thought I was getting. That one is called COVIDsafe,Directly Relevant,Honest,Intelligent,,,,,
Not activated..so I don't know who can help me,Directly Relevant,Helpful,,,,,,
It keeps telling me I can't register because my mobile number is invalid. News to me. Please fix,Directly Relevant,Helpful,Honest,Truthfulness,,,,it keeps telling me
Not much information and too much push propaganda,Directly Relevant,Authority,Honest,,,,,
Useless. Basically just a bunch of links to a website. When you get a push notification it just opens the app and doesn't present you with any information. I feel dumber after using this app.,Directly Relevant,Self-respect,Intelligent,,,,,
"What's happened to this App? It was working a week ago, now most of it is blank pages. Please fix.",Directly Relevant,curious,Helpful,,,,,
"Just sends you to web pages, it's all confusing and doesn't help any more then a Google search",Directly Relevant,Helpful,Creativity,,,,,
Useless. Very basic information which can simply get from website.,Directly Relevant,Helpful,Creativity,,,,,
Can't find the latest isolation guidelines,Directly Relevant,curious,,,,,,
Doesn't display properly on Galaxy Tablet,Not Relevant,,,,,,,
"Rubbish, they're pushing it everywhere, but it won't open!",Directly Relevant,Helpful,Responsible,,,,,
No more info then the internet.... doesn't show if my area is affected which is what I want...,Directly Relevant,Creativity,curious,,,,,
Opens all the advice categories in separate Internet Explorer tabs. Very inconvenient and inefficient.,Directly Relevant,Helpful,Intelligent,"Convenience, efficiency",,,"Very inconvenient, inefficient",
Thought this would be used for important updates. Not for spruiking government policies.,Directly Relevant,Honest,Independent,,,,,
What are the new laws and restrictions? Surely a govt app should advise these at least.,Directly Relevant,curious,,,,,What are the,"app should advise, What are the"
App is as big a skidmark as the PM.,Not Relevant,,,,,,,
Wgats the point of an app that DOESENT load,Directly Relevant,Helpful,,,,,,Whats the point of
Impossible to get the proper information. Useless,Directly Relevant,curious,Helpful,,,,,impossible to get
Location permission DENIED !!! Big Brother.,Directly Relevant,Privacy,,,,,,"location permission, big brother"
"It's basically just a bunch of bookmarks that open in your phones browser. Lame. It's also pretty much written in Firebase which sets off privacy alarm bells. The government should work on putting concise information on a single source website (like every other country) rather than having informatio...
 Full Review",Directly Relevant,Intelligent,Creativity,,,,,"basically a bunch of, lame, should work on"
"This app will open in Android from Playstore, but doesn't install for me. Gives me option to Uninstall. I did a reinstall, but same result. It has out-dated information, and seems just a collection of links to outside websites.",Directly Relevant,curious,Creativity,,,,,"out-dated information, doesn't install"
"This app is unacceptable. For example if there is a case detected in WA but the infected person is from NSW it is classed as a NSW case even tho it's 3000kms away . How stupid is that Australia. There are no actual locations indicated on the map either just a tally for each state which is obviously ...
 Full Review",Directly Relevant,Intelligent,Creativity,,,,"unacceptable, stupid","unacceptable, how stupid"
"Doesn't list current restriction stage for your state, contact option is blank.. overall, this app is totally useless... Just refer to 7 and 9 news pages in Facebook, you'll get more info there... ????",Directly Relevant,Helpful,curious,,,,,
"App is confusing, esp what you need to know, not in any order. Some info is old and not current. Found ABC News app easier to find current info and rules.",Directly Relevant,Helpful,curious,,,,,
Just cuts out when i click on something. Looks like there are things to iron out,Not Relevant,,,,,,,
"Useless app, even a third world countries could do better! They all talk about symptoms, we all know these facts. The thing that people want to know is where the exact locations and number(real time on the map) of infected people per suburbs! It's too much for incompetent government!!",Directly Relevant,curious,,,,,,
"News out of order, case info should ideally be more in depth (suburb / area level).",Directly Relevant,curious,,,,,,
Can't even get into the app says there's an error..,Not Relevant,,,,,,,
"Poor. Media/news tabs only link to government sanctioned articles - no evidence of free press or dissenting opinions. Clear attempt to control the message #lockusdown no mention of community transmission which will cause cases to spike - government propaganda from a failed marketing ""guru"". #sacksco...
 Full Review",Directly Relevant,Freedom,Choosing own goals,,,,,
The app closes whenever i try to open the current status option :(,Not Relevant,,,,,,,
Would give more stars if you could get into app keeps telling me to try again not much good Government app mot working can you fix it please so I can use it as it we can thanks.,Directly Relevant,Helpful,,,,,,
Can't open the advice page!!,Directly Relevant,Helpful,,,,,,
"How is this up to date when the case numbers haven't been updated since 3pm Saturday, and it's now Monday? Pathetic and to be expected from a government app.",Directly Relevant,curious,Intelligent,,,,"pathetic,","upto date, pathetic"
Won't even load. Another Scotty from Marketing triumph!,Not Relevant,,,,,,,
"Basic links to webpages, needs more specific state based information.",Directly Relevant,curious,,,,,,
Installed it.... it did nothing could not even open it,Not Relevant,,,,,,,
"""current status"" does not work",Directly Relevant,curious,,,,,,
Failed when trying to open,Not Relevant,,,,,,,
Dosent open the status TAB on android,Not Relevant,,,,,,,
Or. Just check the news. This app does nothing.,Directly Relevant,curious,,,,,,
"App is ultra basic, info just opens up a Web browser and links to info on health gov site. What's the point of the app then? Just use the damn web browser... Lack of any real time info, or Info by regions or suburbs for hotspots.. don't bother downloading just use a web browser to view the same stuf...
 Full Review",Directly Relevant,Creativity,Intelligent,curious,,,,
"This app is literally two hours of work, basically putting links and extracting one paragraph from the gov website. At least put some work into visualising the data, for example plotting daily new cases and cumulative counts!",Directly Relevant,Creativity,Intelligent,,,,,
"Not really useful, i was hoping a similar app to the koreans that would track your movements and who you interact with to easily case movements. Also have more updated info.",Directly Relevant,curious,Intelligent,,,,,
"Can't even download the app. Have tried multiple time but it just loads and loads, the actual dowload never starts. No matter how many hours i leave it for.",Not Relevant,,,,,,,
I have downloaded the app twice and will not load information. Did not work ??,,,,,,,,
"Wont open. Continual ""unable to update, try again""",,,,,,,,
"Useless, just keeps sending you to the website regardless what you press",Directly Relevant,Intelligent,Helpful,,,,,
Nothing much of interest/use. Would like location of local confirmed and suspected covid-19 cases. Kept stopping so I uninstalled it.,Directly Relevant,curious,excitment in life,,,,,
Not very informative with regard to status of the virus contraction and spread.,Directly Relevant,curious,,,,,,
OMG. Seriously?? What is the difference to Covid Gov website?? Learn something from Such a developed country like South Korea laze and idiot people!! Jesus!!,Directly Relevant,Intelligent,Wisdom,,,,,Learn from
"Can the Austrian government get anything bloody right, app doesn't even work! Democracy sucks I want a republic and no more crown land, hope the queen dies from corona virus and the rest of the elites!!! !! !!",Not Relevant,,,,,,,
And the point of this is? Just a collection of media releases & websites.,Directly Relevant,Creativity,Intelligent,,,,,
Doesn't work most of the time.,Not Relevant,,,,,,,
Need tabs for each state.,Not Relevant,,,,,,,
Not much useful info here,Directly Relevant,curious,,,,,,
Doesn't work.,Not Relevant,,,,,,,
Now they just need to get mygov to stop crashing!,Not Relevant,,,,,,,
I want to see the world map.,Directly Relevant,curious,,,,,,
"Great idea to have an app, but this is just a menu with a few links opening websites. Not sure what the value add is. I doubt that anyone asked users what features they think would be highest priority . What might it offer that I cannot search myself ? E.g how about a chat where I can post a questio...
 Full Review",Directly Relevant,Choosing own goals,Capable,,,,,
"About as useful for tracking coronavirus as a normal map of Australia. Seriously needs suburb by suburb stats, testing centre locations, other relevant stats (maybe a link to the world health organisation stats), testing and vaccine development updates Only had to open the app to know that id probab...
 Full Review",Directly Relevant,curious,Creativity,,,,,
"It's just a website embedded in an app, most icons exit into browser. Ok as a starting point to build on but in its current form it achieves nothing to assist with contact tracing/warning or helping to get food etc. Invest a lot more effort into this to make it an asset rather than currently just ti...
 Full Review",Directly Relevant,Creativity,Intelligent,,,,,
"Loads every second time and will not render any select page. Either just shows the heading or stops completely (with message coronavirus has stopped working, if only you could do that).",Not Relevant,,,,,,,
Links to Aust gov health pages only updated once a day. The current numbers from 6 am aren't even reflecting the higher count delivered in the national press conference. Pretty sad when the media is more up to date than the government is with us,Directly Relevant,curious,,,,,,
I thought this app was going to be like the Chinese or Korean ones but it is very superficial. Doesn't say where people who was tested positive were in the past week... it's in my opinion frustrating. Have you guys already checked the asian apps?,Directly Relevant,Wisdom,Creativity,,,,,
"No one can honestly give this 5 stars. Very basic, outdated info and no maps of outbreaks or anything you would expect. Mostly links to Web pages that have been around for a long time",Directly Relevant,curious,Intelligent,,,,,
"Once click on header, file doesn't open. Doesn't appear to list all current stage 2 restrictions eg what is and isn't open",Not Relevant,,,,,,,
"Useless, better watching the news. Information isn't updated (example: Current Status hasn't been updated for 11hrs (at 5pm))",Directly Relevant,curious,,,,,,
"""Current stats"" isn't current! It gives you previous day's stats. How many new cases so far today? What was the growth rate? Is the growth rate going up or down?",Directly Relevant,curious,,,,,,
Pointless app. Just links to websites and the information is out of date.,Directly Relevant,curious,Intelligent,,,,,
"Simple and useless, just like our PM. It just opens links to the health department website.",Directly Relevant,curious,,,,,,
"This is the most useless piece of garbage app on any topic I've ever seen. A feel good moment for scomo and nothing more. How much tax money did they waste making this garbage? Zero actual useful content, out of date information, and no real data you can make any decision with. Give us actual live l...
 Full Review",Directly Relevant,curious,,,,,,
"Bloody useless application. Rather than collecting data on state basis, do it on suburb basis so we know where we need to stay off.",Directly Relevant,Helpful,curious,,,,,
"It's got no info. The install program for Android I'd shut, where you get a message which says it's looking for the best version in my area. And what is this Whatsapp the PM was drooling, whatsapp is a chat system. Please give us correct info.",,,,,,,,
"Half baked app, articles from January arn't what people care about right now! Just Google for latest updates, it's far more informational than this garbage.",,,,,,,,
"Provides nothing the websites don't. Does basically nothing. Not sure why they even bothered to make this app. The map is useless, needs to be by postcode.",,,,,,,,
Don't play this game unless you have a thick wallet. Pay to win to the core.,,,,,,,,
"Federal info only, no state info, and very light on specifics. Tells you less than you can get from the latest press release. Doesn't say what businesses are closed, or restrictions on events, or in public places. All info buttons link to a web page, so you might as well just search on the web. Pret...
 Full Review",,,,,,,,
Appears the only options working are the Current Status and News/Media... Seems like a simple Web wrapper...,,,,,,,,
Doesn't show where each of the reported cases are. This is a very useful information that should be included.,,,,,,,,
Opens but can't access info - stops working when I try,,,,,,,,
Dangerous. References are out of date and don't reflect current advice. Eg. Scomo says no gathering of more than 2 people...resources in this app still say 100 indoors or 500 outdoors!,,,,,,,,
Which politicians kid or friends got the overpriced job of slapping this (INSERT POO EMOJI) app together. Nothing here worth the Mbs of data. Is this the best the Australian Government can come up with? No wonder the country is in such strife before this virus started anyway,,,,,,,,
"Not a proper app, links open in Web browser.",,,,,,,,
Keeps crashing once you press check status ??,,,,,,,,
"Better off with a web browser..I hope no one actually got paid for this, placeholder app",,,,,,,,
"Its not really a proper app, its just a bunch of links to the government's website",,,,,,,,
Most of the links dont work.,,,,,,,,
Crashes and quits when I try to answer the self isolation questions ??,,,,,,,,
Nothing special abt this app. Bunch of links to gov web site. Dont waste ur time.,,,,,,,,
Crashes when you click current status,,,,,,,,
"Links to out of date information already, ie, the 2 people per group rule, etc.",,,,,,,,
"Useless if the information is out of date. Downloaded it as Scomo suggested at 7pm, it still advises that groups of 10 people are ok!! He said earlier it is now 2 ???? Dangerous if not accurate...",,,,,,,,
Needs to have a real-time update system,,,,,,,,
Thanks to the play store they removed my app and dou you guys call this an Coronavirus application. Mines better than this.,,,,,,,,
Erm ?? Better and more up to date info elsewhere ??????? Uninstalled.,,,,,,,,
Doesn't identify where cases are in NSW districts,,,,,,,,
"The information is great, just bad that it links to an external website. Why isn't there a way to make it display within the app?",,,,,,,,
Current Status crashes the app. Using Samsung S5. Works on a Samsung A70. It is the only info of use to me,,,,,,,,
Uninstalled 5 minutes after installing. That is how useful I found it.,,,,,,,,
"The government has failed all small businesses tell us to stay open. But telling all of our customers to stay home. Offering assistance packages that the banks are making impossible to apply for. To affaid to make the hard calls. Scotty from marketing talks about hibernation but fails on every accou...
 Full Review",,,,,,,,
"You need to lock the country down otherwise we will be following likes of italy and USA our beloved ally. People are putting themselves at risk without any sanitizers and disinfectants available in market ..plus you cant get tested even you have symtoms as you have to proof you been in contact with ...
 Full Review",,,,,,,,
Very little local information. Reads like government advertisement.,,,,,,,,
Everything in the app is just a link to a website. Literally useless,,,,,,,,
No detailed map (very poor effort),,,,,,,,
"Need to update details about status of each states, councils, cities, etc..",,,,,,,,
The information regarding the number of people that are allowed to congregate is not up to date,,,,,,,,
Offers little as it keeps referring you back to the internet.,,,,,,,,
Rubbish As useless as the government which provided it.,,,,,,,,
Typical Australian government P.O.S my cat could have done a better job,,,,,,,,
Lacking direction just like our federal government.,,,,,,,,
Let's all hold hands and walk over the cliff.,,,,,,,,
Just sends you to health government webpage.,,,,,,,,
"Trash, doesn't even work",,,,,,,,
Pretty simple just like scott morrison,,,,,,,,
Doesn't work,,,,,,,,
No icon to start the app,,,,,,,,
Political gobble..... no real unfiltered data,,,,,,,,
This app fails to tell you pritty much anything at all very hard to navigate and find any real info just like our leaders,,,,,,,,
"No info on where you can travel within WA ,when needed to go to see or check up on family.",,,,,,,,
"Poor effort, it's just a wrapper on a mobile website and doesn't work well. For example, a notification of an article will come through, and clicking the notification goes straight to the homepage of the app rather than the content. Very, very poor implementation on Android! When you manually find c...
 Full Review",,,,,,,,
What's the point of it is not updated the current status info is always 2 days out of date,,,,,,,,
"Absolute waste of time. It does nothing to keep the community informed, especially about social distancing measures, restrictions and so on. The media updates are all negative. People need to hear some positivity they need to see these restrictions lifted sooner rather than later. KEEP THE INTERNATI...
 Full Review",,,,,,,,
Pops up message but doesnt link to it then you cant find it,,,,,,,,
Bloody annoying! No way to turn off unwanted and unnecessary SMS's,,,,,,,,
Tell me what to do. App is goooone,,,,,,,,
All I want to know is what is the current rules in QLD.,,,,,,,,
"Instructions unclear, ended up getting ebola.",,,,,,,,
"This app doesnt show the recovered cases, it doesnt show anywhere its like nobody wants the public to know where we at.. only bad news is good for the public",,,,,,,,
It's easier to just refresh the website than use this waste of government resources for outdated information.,,,,,,,,
Data collector at best,,,,,,,,
"4 days between updates dont waste your time, better sources to get information.",,,,,,,,
The hole app is a website.,,,,,,,,
This app just keeps saying unable to download information . I have uninstalled and reinstalled this app a number of times and it is always the same!,,,,,,,,
"Poor app. Very general, useless info. Just leads back to uninformative webpages. I can get better, lite detailed info myself.",,,,,,,,
"App was good at first. Advice, contact and resources now blank. Reinstalling to see if it is fixed",,,,,,,,
Was expecting this to be a single point of truth where I could see restrictions to each state,,,,,,,,
"Fear mongering app. Shows total cases for each region, not active cases. So things look much worse than they are in reality.",,,,,,,,
You won't find anything new. Lacks detail. Glossy handout.,,,,,,,,
I would give is zero if I could! Just downloaded it and my phone went mental like it was possessed! Quickly uninstalled,,,,,,,,
Nothing really useful unfortunately.,,,,,,,,
"Wrong pin was sent,",,,,,,,,
Might as well just put an app out that has a link to a website instead of everything you touch opening up a browser page WHY HAVE THE APP FOR,,,,,,,,
My phone number does not exist apparently invalid no,,,,,,,,
Not the right place to go for current information.,,,,,,,,
Useless to know how many confirmed cases in total. Historical data is useless except for accountants. It is better to know how many active cases now and how many new cases in last 24 hours and also last 14 days in each region.,,,,,,,,
"It's a wrapper for the government website. It also then had links to open government website pages in an external browser. The ""current status"" of cases is merely a total, not the current number of active cases. Poor effort.",,,,,,,,
Not very useful as current status shows total cases. It should display current cases to be.of any use. A map of where they are would be even better.,,,,,,,,
"Minis 100 stars as this is a app from the government to trace the citizens and ruin the lives of the citizens , this app is not safe , Australia if need to get information I will just watch the fake news on tv or go on social media as every time a person turns on tv or open social the amount of case...
 Full Review",,,,,,,,
"It wont clear from my notifications, so annoying!!!",,,,,,,,
Doesn't really tell you anything and any detailed information links just open a browser window,,,,,,,,
This is not the real app dont get it the real app is called covid safe and has a green Icon and if and the developers are Australian government of health,,,,,,,,
Rubbish 1984 govt spy tool that doesn't work,,,,,,,,
Terrible. A complete waste of time.,,,,,,,,
It load garbage waste tax payers money,,,,,,,,
"You should download this app. However this app is poorly designed and your information from this app will be held overseas in Amazon Web Services cloud servers, despite the Australian Government having access to secure (but maybe not as cheap) Australian cloud providers. Download this app in the nam...
 Full Review",,,,,,,,
"How can I know this is official? That description could be faked. On the site from the government (health) it points to another app. Be careful, this could be fake!",,,,,,,,
"It sent an alert that I was in contact with someone with COVID19, but I just installed it",,,,,,,,
GPS TRACING BEWARE!! READ PERMISSIONS!!,,,,,,,,
Nothing waste of time,,,,,,,,
Useless out of date information.,,,,,,,,
I must be to dumb to work it out,,,,,,,,
Check the app permissions,,,,,,,,
"Constantly getting notifications with links that don't work. No death statistics, even though its on the news every day.",,,,,,,,
Uninstalled. Don't like the decision to give a data security contract to an overseas company when there were Aussie companies able to do it. I'm out!,,,,,,,,
"You could just google corona virus and get better info just a bunch of link clumsy cobbled together in an ""app""",,,,,,,,
Nothing new in this app. Watch the News once a day and you know more than this app can tell you. All I wanted to know is the number of cases per suburb. The app doesn't show me that. therefor useless for me. Uninstalled.,,,,,,,,
App crashes when opened,,,,,,,,
i seriously suspect this app of being fake. proper useless,,,,,,,,
Lazy and cheap effort,,,,,,,,
Uninformative and useless. Deleted as soon as I downloaded it,,,,,,,,
"Thought this was supposed to be a tracking app, to track the movement and occurences or possible new cases etc, similar to the influenza tracking app? Just links to online sites I can access normally.",,,,,,,,
Crashes on opening on samsung s10. Pretty poor. Same for 31st March version as well as 8th April version.,,,,,,,,
"Just links to website, so its a glorified wrapper",,,,,,,,
"Only has links to websites, doesn't give you any useful additional information. Consistently delayed in updating info by 24 hours. Use ANY other news app.",,,,,,,,
I think this is a good idea. You can always delete it once we move on from this virus. Where I live is a tourist location and over Easter weekend no one was meant to travel. But they did.,,,,,,,,
"Utter rubbish it DOES NOT WORK onany phone blocked by Trumps Trade WAR. That includes Telstra ZTE and Telstra Huawei. The difference is that Huawei and ZTE are Chinese companies. Apple also made in China is an American company. This information also applies to the MYGOV app that the government sudde...
 Full Review",,,,,,,,
"How can a teenager living with their parents, make an app that looks and works better then something made by a countries government. I have more chance of contracting Covid-19 then this app improving.",,,,,,,,
"Immediately upon installation of this app, my Sophos Antivirus app warned me that this app was classed as having a ""Low Reputation"" and should be uninstalled. Why would an app created by the Australian Government be flagged as being a danger? Is this app a scam? Is it actually malware in disguise?",,,,,,,,
When you try to open Current Situation the Ap just crashes,,,,,,,,
"its rubbish, so hard to get on to. it says its downloaded and a heap of games pop up",,,,,,,,
"Did the people who made this app, ever made an app before? It's not an app, it's a collection of links to websites",,,,,,,,
For starters it's the China Virus. Useless app,,,,,,,,
Information is not up to date and notifications are irrelevant.,,,,,,,,
The 5G feature gave me testicular cancer.,,,,,,,,
